的	白 	de dí dì					
嘲	口 	cháo zhāo					
橘	木 	jú					
侮	人 	wŭ					
灘	水 	tān hàn nàn					
滩	水 	tān					
屢	尸 	lܳ					
屡	尸 	lܳ					
歎	欠 	tàn					
巢	巛 	cháo					
髓	骨 	suĭ					
碑	石 	bēi					
梨	木 	lí					
礦	石 	kuàng					
矿	石 	kuàng					
疋	疋 	pĭ pī shū yă					
脹	肉 	zhàng cháng					
胀	肉 	zhàng					
贾	貝 	jiă gŭ jià					
賈	貝 	jiă jià gŭ					
譴	言 	qiăn					
谴	言 	qiăn					
悸	心 	jì					
煉	火 	liàn làn					
炼	火 	liàn					
胏	肉 	zĭ fèi					
豹	豸 	bào					
擅	手 	shàn					
迦	辵 	jiā xiè					
蠶	虫 	cán					
肌	肉 	jī jì					
攀	手 	pān					
卵	卩 	luăn					
闢	門 	pì					
炳	火 	bĭng					
嘍	口 	lou lóu					
喽	口 	lou lóu					
盏	皿 	zhăn					
盞	皿 	zhăn					
鄙	邑 	bĭ					
浦	水 	pŭ					
尬	尢 	gà					
弗	弓 	fú					
株	木 	zhū					
爪	爪 	zhuă zhăo					
抒	手 	shū					
侍	人 	shì					
阪	阜 	băn					
祇	示 	zhī zhĭ					
逗	辵 	dòu zhù tóu qí					
喉	口 	hóu					
栽	木 	zāi zài					
疫	疒 	yì					
黯	黑 	àn ān					
飼	食 	sì					
饲	食 	sì					
铝	金 	lܳ					
鋁	金 	lܼ/A> lܴ 					
鉛	金 	qiān yán					
铅	金 	qiān yán					
劈	刀 	pī pĭ					
艘	舟 	sāo sōu					
仕	人 	shì					
屿	山 	yŭ xù yŭ					
嶼	山 	yŭ xù yŭ					
郊	邑 	jiāo					
釵	金 	chāi chā					
钗	金 	chāi					
鵰	鳥 	diāo					
裸	衣 	luŏ					
嘯	口 	xiào					
啸	口 	xiào					
璞	玉 	pú					
凶	凵 	xiōng					
頃	頁 	qĭng kuĭ qīng					
顷	頁 	qĭng kuĭ qīng					
寓	宀 	yù					
狸	犬 	lí mái					
柄	木 	bĭng bìng					
挪	手 	nuó ruó					
沛	水 	pèi					
鰱	魚 	lián					
鲢	魚 	lián					
咚	口 	dōng					
芷	艸 	zhĭ					
彙	彐 	huì wèi					
豎	豆 	shù					
僚	人 	liáo					
姜	女 	jiāng					
窄	穴 	zhăi zé					
杖	木 	zhàng					
倩	人 	qiàn qìng					
兜	儿 	dōu					
廊	广 	láng					
烫	火 	tàng					
燙	火 	tàng dàng					
惶	心 	huáng					
吶	口 	nè nà					
祺	示 	qí					
耿	耳 	gĕng					
鏘	金 	qiāng					
锵	金 	qiāng					
绰	糸 	chuò chāo					
綽	糸 	chuò chāo					
迄	辵 	qì					
柵	木 	zhà cè shà shān					
夷	大 	yí					
拙	手 	zhuó zhuō					
焕	火 	huàn					
煥	火 	huàn					
妒	女 	dù					
鸥	鳥 	ōu					
鷗	鳥 	ōu					
溯	水 	sù shuò					
蝇	虫 	yíng					
蠅	虫 	yíng					
沌	水 	dùn tún zhuàn chún					
聆	耳 	líng					
潰	水 	kuì xiè					
溃	水 	kuì					
攪	手 	jiăo					
搅	手 	jiăo					
吼	口 	hŏu					
竭	立 	jié					
磊	石 	lĕi					
瞄	目 	miáo					
唾	口 	tuò					
棲	木 	qī xī					
倡	人 	chàng chāng					
掏	手 	tāo					
俺	人 	ăn					
浸	水 	jìn qīn					
酌	酉 	zhuó					
繭	糸 	jiăn					
芙	艸 	fú					
楣	木 	méi					
押	手 	yā xiá					
卦	卜 	guà					
苛	艸 	kē hē hé					
鸽	鳥 	gē					
鴿	鳥 	gē					
凸	凵 	tū					
匠	匚 	jiàng					
悼	心 	dào					
蛛	虫 	zhū					
绳	糸 	shéng mĭn yìng					
繩	糸 	shéng mĭn yìng shèng					
掠	手 	lܥ4 luĕ					
暱	日 	nì					
瞞	目 	mán mén mèn					
瞒	目 	mán mén mèn					
芋	艸 	yù hū xū yŭ yú					
蔥	艸 	cōng					
墳	土 	fén					
坟	土 	fén					
拯	手 	zhĕng					
啤	口 	pí					
剋	刀 	kè					
迳	辵 	jìng					
逕	辵 	jìng					
茵	艸 	yīn					
滔	水 	tāo					
崔	山 	cuī					
宛	宀 	wăn yuān					
赎	貝 	shú					
贖	貝 	shú shù					
蝉	虫 	chán					
蟬	虫 	chán shàn					
蕉	艸 	jiāo qiáo qiāo					
貶	貝 	biăn					
贬	貝 	biăn					
裹	衣 	guŏ					
燄	火 	yàn					
朦	月 	méng					
芽	艸 	yá					
御	彳 	yù yà					
狄	犬 	dí tì					
顫	頁 	zhàn chàn shān					
颤	頁 	zhàn chàn shān					
倪	人 	ní nì					
燥	火 	zào sào					
哑	口 	yă yā è					
啞	口 	yă yā è					
頡	頁 	jié jiá xié					
颉	頁 	jié jiá xié					
桦	木 	huà					
樺	木 	huà					
惰	心 	duò					
荳	艸 	dòu					
粮	米 	liáng					
糧	米 	liáng					
贷	貝 	dài tè					
貸	貝 	dài tè					
祐	示 	yòu					
炫	火 	xuàn					
旬	日 	xún					
噢	口 	yŭ ō					
齣	齒 	chū					
鳖	魚 	biē					
鱉	魚 	biē					
簿	竹 	bó bù					
喘	口 	chuăn					
綸	糸 	lún guān					
纶	糸 	lún guān					
腥	肉 	xīng					
敷	攴 	fū					
悍	心 	hàn					
袂	衣 	mèi yì					
僵	人 	jiāng					
尴	尢 	gān					
尷	尢 	gān					
締	糸 	dì					
缔	糸 	dì					
檳	木 	bīn bīng					
槟	木 	bīn bīng					
紮	糸 	zhá zā					
斧	斤 	fŭ					
襟	衣 	jīn					
轄	車 	xiá hé					
辖	車 	xiá					
肖	肉 	xiào xiāo					
鈍	金 	dùn					
钝	金 	dùn					
腫	肉 	zhŏng					
肿	肉 	zhŏng					
檬	木 	méng					
蹲	足 	dūn dún cún zūn cŭn cuán					
嗜	口 	shì					
逾	辵 	yú dòu					
瀑	水 	pù bào bó					
罕	网 	hăn hàn					
癒	疒 	yù					
碌	石 	lù liù luò					
迋	辵 	wàng guăng guàng kuáng					
稻	禾 	dào					
谭	言 	tán					
譚	言 	tán					
撼	手 	hàn					
祯	示 	zhēn zhēng					
禎	示 	zhēn zhēng					
凋	冫 	diāo					
哨	口 	shào					
掘	手 	jué					
涩	水 	sè					
澀	水 	sè					
釁	酉 	xìn					
衅	血 	xìn					
汙	水 	wū wù wā wù yū					
庚	广 	gēng					
惭	心 	cán					
慚	心 	cán					
隧	阜 	suì zhuì					
膨	肉 	péng pèng					
詐	言 	zhà					
诈	言 	zhà					
酿	酉 	niàng niáng					
釀	酉 	niàng niáng					
脂	肉 	zhī zhĭ					
圭	土 	guī					
凳	几 	dèng					
鑫	金 	xīn xùn					
槓	木 	gàng					
綺	糸 	qĭ yĭ					
绮	糸 	qĭ					
拭	手 	shì					
捏	手 	niē					
拐	手 	guăi					
瑛	玉 	yīng					
醋	酉 	cù					
蔚	艸 	wèi yù					
筠	竹 	yún jūn					
莺	艸 	yīng					
鶯	鳥 	yīng					
闇	門 	àn ān yăn					
伶	人 	líng					
曬	日 	shài					
鬍	髟 	hú					
膝	肉 	xī					
亟	二 	jí qì					
卅	十 	sà					
旷	日 	kuàng					
曠	日 	kuàng					
抉	手 	jué					
惘	心 	wăng					
溢	水 	yì					
剖	刀 	pōu					
喃	口 	nán					
琉	玉 	liú					
竅	穴 	qiào					
窍	穴 	qiào					
蜗	虫 	guā wō					
蝸	虫 	guā wō luó guŏ					
呃	口 	è					
匡	匚 	kuāng					
逮	辵 	dài dăi dì					
榔	木 	láng lăng					
奕	大 	yì					
傍	人 	bàng páng					
柠	木 	níng					
檸	木 	níng					
鉤	金 	gōu gòu qú					
袜	衣 	wà mò					
襪	衣 	wà					
暇	日 	xiá xià					
扳	手 	bān pān					
梵	木 	fàn					
泓	水 	hóng					
涅	水 	niè					
刁	刀 	diāo					
辗	車 	zhăn niăn					
輾	車 	zhăn niăn					
蔔	艸 	bó bo					
斐	文 	fĕi fēi					
捍	手 	hàn					
耸	耳 	sŏng					
聳	耳 	sŏng					
疤	疒 	bā					
蜘	虫 	zhī					
姚	女 	yáo					
忿	心 	fèn					
恍	心 	huăng					
黛	黑 	dài					
瀚	水 	hàn					
谛	言 	dì tí					
諦	言 	dì tí					
堤	土 	dī tí					
窟	穴 	kū					
篠	竹 	xiăo					
仟	人 	qiān					
繡	糸 	xiù					
晖	日 	huī					
暉	日 	huī					
哔	口 	bì					
嗶	口 	bì					
窺	穴 	kuī kuĭ					
窥	穴 	kuī kuĭ					
晦	日 	huì					
渝	水 	yú					
禧	示 	xī xĭ					
刃	刀 	rèn					
沫	水 	mò					
葵	艸 	kuí					
匣	匚 	xiá					
楠	木 	nán					
隶	隶 	lì dài yì dì					
隸	隶 	lì					
轎	車 	jiào					
轿	車 	jiào					
嘔	口 	ōu ŏu òu					
呕	口 	ōu ŏu òu					
蔽	艸 	bì fù					
绽	糸 	zhàn					
綻	糸 	zhàn					
丞	一 	chéng					
諜	言 	dié xiè					
谍	言 	dié					
衬	衣 	chèn					
襯	衣 	chèn					
晰	日 	xī					
膏	肉 	gāo gào					
窈	穴 	yăo yào					
嚕	口 	lū					
噜	口 	lū					
蘆	艸 	lú					
芦	艸 	lú lŭ lú					
敛	攴 	liàn liăn					
斂	攴 	liàn liăn					
皱	皮 	zhòu					
皺	皮 	zhòu zhōu					
峻	山 	38139					
孰	子 	shú					
仄	人 	zè					
瀏	水 	liú liū					
浏	水 	liú					
涕	水 	tì					
鈔	金 	chāo miăo chăo					
钞	金 	chāo miăo					
沮	水 	jū jŭ jù jiān zŭ					
掷	手 	zhí zhī zhì					
擲	手 	zhí zhī zhì					
窕	穴 	tiăo tiāo yáo					
煽	火 	shān shàn					
袱	衣 	fú					
蝕	虫 	shí lì lóng					
蚀	虫 	shí					
絆	糸 	bàn					
绊	糸 	bàn					
茹	艸 	rú					
瞪	目 	dèng					
丐	一 	gài					
舅	臼 	jiù					
詰	言 	jié					
诘	言 	jié					
懺	心 	chàn					
鹹	鹵 	xián					
錐	金 	zhuī					
锥	金 	zhuī					
丑	一 	chŏu					
淳	水 	chún zhūn zhŭn					
焚	火 	fén fèn					
溉	水 	gài xiè					
毓	毋 	yù yù					
蒐	艸 	sōu					
戳	戈 	chuō					
雛	隹 	chú jú jù					
雏	隹 	chú					
阙	門 	què jué quē					
闕	門 	què jué quē					
佰	人 	băi bó					
鈺	金 	yù					
钰	金 	yù					
哄	口 	hōng hŏng hòng					
菱	艸 	líng					
肺	肉 	fèi pèi					
軀	身 	qū					
躯	身 	qū					
姨	女 	yí yí					
垄	土 	lŏng					
壟	土 	lŏng					
盯	目 	chéng dīng					
奢	大 	shē					
巾	巾 	jīn					
槃	木 	pán					
纱	糸 	shā					
紗	糸 	shā miăo					
菸	艸 	yān yū yù					
凹	凵 	āo wā					
腕	肉 	wàn					
翟	羽 	dí zhái					
怠	心 	dài					
蟾	虫 	chán					
蔭	艸 	yìn yīn					
荫	艸 	yìn yīn					
庄	广 	zhuāng					
寰	宀 	huán					
囡	囗 	nān					
瑄	玉 	xuān					
饋	食 	kuì tuí					
馈	食 	kuì					
阱	阜 	jĭng					
靶	革 	bă bà					
肾	肉 	shèn					
腎	肉 	shèn					
擱	手 	gē gé					
搁	手 	gē gé					
搏	手 	bó					
闌	門 	lán làn					
阑	門 	lán					
穆	禾 	mù					
呱	口 	gū guā					
犀	牛 	xī					
飢	食 	jī					
蹺	足 	qiāo qiào					
跷	足 	qiāo					
疵	疒 	cī zī zhài jì					
瑤	玉 	yáo					
樵	木 	qiáo					
鸳	鳥 	yuān					
鴛	鳥 	yuān					
辄	車 	zhé					
輒	車 	zhé					
阀	門 	fá					
閥	門 	fá					
琨	玉 	kūn					
憧	心 	chōng					
勻	勹 	yún					
捣	手 	dăo					
搗	手 	dăo					
隙	阜 	xì					
怅	心 	chàng					
悵	心 	chàng					
虞	虍 	yú					
跪	足 	guì					
乞	乙 	qĭ					
逞	辵 	chĕng yíng					
孽	子 	niè					
瀰	水 	mí mĭ					
榕	木 	róng					
徽	彳 	huī					
蜀	虫 	shŭ					
螃	虫 	páng băng					
俏	人 	qiào					
淆	水 	yáo xiáo					
丰	丨 	fēng					
萱	艸 	xuān					
俯	人 	fŭ					
敞	攴 	chăng					
渣	水 	zhā					
緝	糸 	qì jī qī jí					
缉	糸 	qì jī qī					
詛	言 	zŭ					
诅	言 	zŭ					
绅	糸 	shēn					
紳	糸 	shēn					
屐	尸 	jī					
眺	目 	tiào					
咫	口 	zhĭ					
溺	水 	nì niào					
疆	田 	jiāng qiáng jiàng					
馒	食 	mán					
饅	食 	mán					
珑	玉 	lóng					
瓏	玉 	lóng					
屯	屮 	tún zhūn					
沸	水 	fèi fú					
饺	食 	jiăo					
餃	食 	jiăo jiào					
鴦	鳥 	yāng					
鸯	鳥 	yāng					
夭	大 	yăo yāo					
憬	心 	jĭng					
骆	馬 	luò					
駱	馬 	luò jià					
芹	艸 	qín					
苇	艸 	wĕi					
葦	艸 	wĕi					
徘	彳 	pái péi					
竄	穴 	cuàn cuān					
窜	穴 	cuàn					
谤	言 	bàng					
謗	言 	bàng					
啼	口 	tí					
囚	囗 	qiú					
絮	糸 	xù nܱù chù nà					
鐸	金 	duó					
铎	金 	duó					
乍	丿 	zhà zuò					
蕙	艸 	huì					
杆	木 	gān găn					
冗	冖 	rŏng					
簧	竹 	huáng					
脊	肉 	jí jĭ					
眸	目 	móu					
愿	心 	yuàn					
趴	足 	pā					
滞	水 	zhì					
滯	水 	zhì chì					
貂	豸 	diāo					
嘶	口 	sī xī					
拱	手 	gŏng					
掀	手 	xiān					
萃	艸 	cuì					
彗	彐 	huì suì					
邵	邑 	shào					
徨	彳 	huáng					
輿	車 	yú yù					
舆	臼 	yú					
朮	木 	zhú shù					
巍	山 	wēi wéi					
徊	彳 	huái huí					
叩	口 	kòu					
妞	女 	niū					
侏	人 	zhū					
苟	艸 	gŏu gōu					
吠	口 	fèi					
嘩	口 	huā huá					
哗	口 	huā huá					
憊	心 	bèi					
惫	心 	bèi					
茅	艸 	máo					
矫	矢 	jiăo jiáo jiāo					
矯	矢 	jiăo jiāo					
邂	辵 	xiè					
檯	木 	tái					
鎚	金 	chuí					
禽	禸 	qín					
棠	木 	táng					
崖	山 	yá yái					
澆	水 	jiāo ào nào					
浇	水 	jiāo ào					
啄	口 	zhuó zhòu					
挂	手 	guà					
衔	行 	xián					
銜	金 	xián					
朽	木 	xiŭ					
嫖	女 	piào piāo piáo					
汐	水 	xì xī					
揣	手 	chuăi chuāi chuài tuán zhuī					
寥	宀 	liáo					
徬	彳 	páng					
畜	田 	chù xù					
瑕	玉 	xiá					
氾	水 	fàn fán fĕng					
赦	赤 	shè cè					
筱	竹 	xiăo					
粥	米 	zhōu yù zhù					
稜	禾 	léng lèng líng					
虔	虍 	qián					
湛	水 	zhàn chén dān jiān tán jìn					
崙	山 	lún					
瞻	目 	zhān					
懦	心 	nuò					
滲	水 	shèn qīn sēn lín					
渗	水 	shèn qīn					
儡	人 	lĕi					
祿	示 	lù					
簾	竹 	lián					
擒	手 	qín					
萎	艸 	wēi wĕi					
澈	水 	chè					
蓓	艸 	bèi					
磋	石 	cuō					
膳	肉 	shàn					
泻	水 	xiè					
瀉	水 	xiè					
蚤	虫 	zăo zhăo					
椒	木 	jiāo					
儕	人 	chái					
侪	人 	chái					
塌	土 	tā					
莽	艸 	măng máng					
琮	玉 	cóng					
壤	土 	răng					
矽	石 	xì xī					
弧	弓 	hú					
茍	艸 	jì					
脖	肉 	bó					
憫	心 	mĭn					
悯	心 	mĭn					
魎	鬼 	liăng					
魉	鬼 	liăng					
鏈	金 	liàn lián					
链	金 	liàn					
蕊	艸 	ruĭ juăn					
锻	金 	duàn					
鍛	金 	duàn					
奎	大 	kuí					
嚼	口 	jiáo jué jiào					
糗	米 	qiŭ					
楷	木 	kăi jiē					
茁	艸 	zhuó zhú					
偎	人 	wēi					
磅	石 	bàng pàng páng pāng					
笙	竹 	shēng					
蔓	艸 	màn wàn mán					
恃	心 	shì					
隅	阜 	yú					
餌	食 	ĕr					
饵	食 	ĕr					
裘	衣 	qiú					
俐	人 	lì					
拚	手 	pàn fān fèn pīn					
廓	广 	kuò					
邹	邑 	zōu					
鄒	邑 	zōu jù					
烘	火 	hōng					
汀	水 	tīng dìng tìng					
鑄	金 	zhù					
铸	金 	zhù					
崑	山 	kūn					
鉴	金 	jiàn					
鑒	金 	jiàn					
嚷	口 	răng rāng					
茎	艸 	jīng					
莖	艸 	jīng yīng					
噸	口 	dūn					
煤	火 	méi					
勘	力 	kān kàn					
歼	歹 	jiān					
殲	歹 	jiān					
樽	木 	zūn zŭn					
扔	手 	rēng rèng					
杏	木 	xìng					
澜	水 	lán					
瀾	水 	lán					
廈	广 	shà xià					
噎	口 	yē					
秽	禾 	huì					
穢	禾 	huì					
驯	馬 	xún xùn					
馴	馬 	xún xùn					
峙	山 	zhì shì					
厄	厂 	è					
躬	身 	gōng					
僻	人 	pì					
酥	酉 	sū					
殴	殳 	ōu					
毆	殳 	ōu kōu qū					
郤	邑 	xì					
暧	日 	ài					
曖	日 	ài					
繽	糸 	bīn					
缤	糸 	bīn					
伽	人 	jiā qié					
闵	門 	mĭn					
閔	門 	mĭn mín					
蔑	艸 	miè					
茜	艸 	qiàn qiān xī					
躁	足 	zào					
誡	言 	jiè					
诫	言 	jiè					
缮	糸 	shàn					
繕	糸 	shàn					
咎	口 	jiù gāo					
鏽	金 	xiù					
淌	水 	tăng chàng chăng					
曜	日 	yào					
扛	手 	káng gāng					
颊	頁 	jiá					
頰	頁 	jiá					
麒	鹿 	qí					
喀	口 	kè kā					
蒞	艸 	lì					
芥	艸 	jiè gài					
逅	辵 	hòu gòu					
雇	隹 	gù					
斟	斗 	zhēn					
菇	艸 	gū					
诵	言 	sòng					
誦	言 	sòng					
瞳	目 	tóng					
苔	艸 	tái tāi					
桩	木 	zhuāng chōng					
樁	木 	zhuāng chōng					
懋	心 	mào					
曳	曰 	yì yè					
滷	水 	lŭ					
卤	卜 	lŭ					
闰	門 	rùn					
閏	門 	rùn					
耽	耳 	dān					
骇	馬 	hài					
駭	馬 	hài					
粪	米 	fèn					
糞	米 	fèn					
卯	卩 	măo					
岔	山 	chà					
琵	玉 	pí					
蹋	足 	tà					
禹	禸 	yŭ					
汲	水 	jí					
倌	人 	guān					
嗡	口 	wēng					
泌	水 	mì bì					
捌	手 	bā					
皂	白 	zào					
昼	日 	zhòu					
晝	日 	zhòu					
涡	水 	wō guō					
渦	水 	wō guō					
岱	山 	dài					
梳	木 	shū					
莓	艸 	méi mèi					
睿	目 	ruì					
锯	金 	jù jū					
鋸	金 	jù jū					
瞌	目 	kē					
辕	車 	yuán					
轅	車 	yuán					
惕	心 	tì					
廬	广 	lú					
庐	广 	lú					
旻	日 	mín					
遁	辵 	dùn xún qūn					
贓	貝 	zāng					
礁	石 	jiāo					
毯	毛 	tăn					
絨	糸 	róng					
绒	糸 	róng					
淇	水 	qí					
甦	生 	sū					
莒	艸 	jŭ					
粵	米 	yuè					
焊	火 	hàn					
濑	水 	lài					
瀨	水 	lài					
隘	阜 	ài è					
嫩	女 	nèn nùn					
藐	艸 	miăo mò					
垢	土 	gòu					
聶	耳 	niè zhè shè zhé yè					
聂	耳 	niè zhè					
讥	言 	jī					
譏	言 	jī					
恤	心 	xù					
怯	心 	qiè					
岫	山 	xiù					
巖	山 	yán					
倖	人 	xìng					
诃	言 	hē					
訶	言 	hē					
裔	衣 	yì					
蟄	虫 	zhí zhé					
蛰	虫 	zhí zhé					
吭	口 	háng kēng					
跤	足 	jiāo qiāo					
嘰	口 	jī					
叽	口 	jī					
梓	木 	zĭ					
鎧	金 	kăi					
铠	金 	kăi					
鱗	魚 	lín					
鳞	魚 	lín					
痘	疒 	dòu					
朔	月 	shuò					
騁	馬 	chĕng					
骋	馬 	chĕng					
驀	馬 	mò mà					
蓦	艸 	mò					
矇	目 	méng					
椎	木 	zhuī chuí					
嚎	口 	háo					
釐	里 	lí xī					
橄	木 	găn					
亥	亠 	hài					
龔	龍 	gōng					
龚	龍 	gōng					
濛	水 	méng					
俞	人 	yú shù					
殃	歹 	yāng					
幟	巾 	zhì					
帜	巾 	zhì					
啃	口 	kĕn					
欖	木 	lăn					
榄	木 	lăn					
搓	手 	cuō					
瓣	瓜 	bàn					
妃	女 	fēi pèi					
噱	口 	jué xué					
埠	土 	bù bù					
硫	石 	liú chù					
袅	衣 	niăo					
裊	衣 	niăo					
阎	門 	yán yàn					
閻	門 	yán yàn yăn					
狡	犬 	jiăo xiào					
橙	木 	chéng chén dèng					
蹄	足 	tí dì					
蔷	艸 	qiáng sè					
薔	艸 	qiáng sè					
豚	豕 	tún dūn					
炭	火 	tàn					
琶	玉 	pá					
冀	八 	jì					
祟	示 	suì					
喙	口 	huì					
鷺	鳥 	lù					
鹭	鳥 	lù					
炊	火 	chuī					
糙	米 	cāo					
靡	非 	mĭ mí méi mó					
塘	土 	táng					
媳	女 	xí					
筷	竹 	kuài					
懈	心 	xiè					
嫂	女 	săo					
廝	广 	sī					
橡	木 	xiàng					
瓢	瓜 	piáo					
暸	日 	liáo liăo					
兌	儿 	duì					
攸	攴 	yōu					
唆	口 	suō					
塚	土 	zhŏng					
溼	水 	shī qì					
搪	手 	táng					
茄	艸 	qié jiā					
膛	肉 	táng tāng					
祉	示 	zhĭ					
氢	气 	qīng					
氫	气 	qīng					
炬	火 	jù					
挟	手 	xié jiā xiá					
挾	手 	xié jiā xiá					
瓷	瓦 	cí					
攬	手 	lăn					
揽	手 	lăn					
苓	艸 	líng lián					
霆	雨 	tíng					
贅	貝 	zhuì					
赘	貝 	zhuì					
桐	木 	tóng					
鍍	金 	dù					
镀	金 	dù					
狷	犬 	juàn					
呸	口 	pēi					
嫉	女 	jí					
踹	足 	chuài shuàn duàn					
咆	口 	páo					
砌	石 	qì qiè					
愣	心 	léng lèng					
蜢	虫 	mĕng mèng					
藻	艸 	zăo					
瘤	疒 	liú					
鞠	革 	jú jū qū qiōng					
墅	土 	shù					
瑣	玉 	suŏ					
琐	玉 	suŏ					
呎	口 	chĭ					
牟	牛 	móu mù mào					
睏	目 	kùn					
郡	邑 	38139					
鉅	金 	jù					
钜	金 	jù					
饗	食 	xiăng					
飨	食 	xiăng					
遐	辵 	xiá					
胺	肉 	è àn					
霄	雨 	xiāo xiào					
猿	犬 	yuán					
蝠	虫 	fú					
沐	水 	mù					
摟	手 	lŏu lōu lóu					
搂	手 	lŏu lōu lóu					
曦	日 	xī					
錚	金 	zhēng					
铮	金 	zhēng					
傀	人 	guī kuĭ					
燼	火 	jìn					
烬	火 	jìn					
韜	韋 	tāo tào					
韬	韋 	tāo					
璇	玉 	xuán					
艷	色 	yàn					
艳	色 	yàn					
侃	人 	kăn					
疚	疒 	jiù					
颺	風 	yáng					
蹦	足 	bèng					
恬	心 	tián					
璧	玉 	bì					
霈	雨 	pèi					
屜	尸 	tì					
篤	竹 	dŭ					
笃	竹 	dŭ					
咽	口 	yān yàn yè					
荊	艸 	jīng					
鵑	鳥 	juān					
鹃	鳥 	juān					
昶	日 	chăng chàng					
諱	言 	huì					
讳	言 	huì					
憎	心 	zēng					
裳	衣 	cháng sháng					
陡	阜 	dŏu					
楞	木 	léng lèng					
洶	水 	xiōng					
耘	耒 	yún					
咙	口 	lóng					
嚨	口 	lóng					
莘	艸 	xīn shēn					
嗤	口 	chī					
酵	酉 	xiào jiào					
銓	金 	quán					
铨	金 	quán					
煜	火 	yù					
鸶	鳥 	sī					
鷥	鳥 	sī					
厝	厂 	cuò					
轍	車 	chè zhé					
辙	車 	chè zhé					
嗓	口 	săng					
偕	人 	xié jiē					
揍	手 	zòu còu					
摺	手 	zhé lā					
箫	竹 	xiāo xiăo					
簫	竹 	xiāo xiăo					
戌	戈 	xū					
烹	火 	pēng					
巩	工 	gŏng					
鞏	革 	gŏng					
盔	皿 	kuī					
傭	人 	yōng yóng					
骯	骨 	āng kăng					
烙	火 	luò lào gé					
蚱	虫 	zhà					
慷	心 	kāng kăng					
嵘	山 	róng					
嶸	山 	róng					
徜	彳 	cháng					
偈	人 	jié jì					
焰	火 	yàn					
啾	口 	jiū					
诛	言 	zhū					
誅	言 	zhū					
曙	日 	shù shŭ					
蔼	艸 	ăi					
藹	艸 	ăi					
蚵	虫 	hé kè					
憨	心 	hān					
峨	山 	é					
悽	心 	qī					
矶	石 	jī					
磯	石 	jī					
涓	水 	juān yuàn xuàn					
蒲	艸 	pú bó					
茉	艸 	mò					
揉	手 	róu					
閑	門 	xián					
闲	門 	xián					
璟	玉 	jĭng					
饑	食 	jī qí					
饥	食 	jī					
畸	田 	jī qí					
鲤	魚 	lĭ					
鯉	魚 	lĭ					
鲫	魚 	jì					
鯽	魚 	jì zéi					
銬	金 	kào					
铐	金 	kào					
岐	山 	qí					
雋	隹 	jùn juàn					
誨	言 	huì					
诲	言 	huì					
稽	禾 	jī qĭ					
戊	戈 	wù					
臻	至 	zhēn					
繃	糸 	bēng bĕng bèng					
扒	手 	bā pā pá					
舵	舟 	duò tuó					
巳	己 	sì					
羔	羊 	gāo					
睬	目 	căi					
恁	心 	rèn					
癸	癶 	guĭ					
艙	舟 	cāng					
舱	舟 	cāng					
纺	糸 	făng băng					
紡	糸 	făng băng fàng					
炜	火 	wĕi					
煒	火 	wĕi huī					
韧	韋 	rèn					
韌	韋 	rèn					
弔	弓 	diào					
娑	女 	suō					
撷	手 	xié					
擷	手 	xié					
冕	冂 	miăn					
碘	石 	diăn					
豁	谷 	huò huō huá					
抠	手 	kōu					
摳	手 	kōu					
肘	肉 	zhŏu					
抨	手 	pēng bēng					
曇	日 	tán					
昙	日 	tán					
臆	肉 	yì yĭ					
熔	火 	róng					
驹	馬 	jū					
駒	馬 	jū jù					
壩	土 	bà					
坝	土 	bà					
絞	糸 	jiăo xiáo jiào					
绞	糸 	jiăo					
疇	田 	chóu					
畴	田 	chóu					
珈	玉 	jiā					
肛	肉 	gāng					
骷	骨 	kū					
胧	肉 	lóng					
朧	月 	lóng lŏng					
媛	女 	yuàn yuán					
嫣	女 	yān					
榨	木 	zhà					
纜	糸 	làn					
缆	糸 	làn					
褪	衣 	tùn tuì					
昀	日 	yún					
趾	足 	zhĭ					
酹	酉 	lèi					
柚	木 	yòu yóu zhú					
搔	手 	sāo zhăo					
羹	羊 	gēng láng					
舖	舌 	pù pū					
眨	目 	zhă					
堇	土 	jĭn					
靥	面 	yè					
靨	面 	yè yăn					
蝙	虫 	biān pián					
鞍	革 	ān					
铲	金 	chăn					
鏟	金 	chăn					
哺	口 	bŭ					
惆	心 	chóu					
霓	雨 	ní					
癱	疒 	tān					
瘫	疒 	tān					
訕	言 	shàn					
讪	言 	shàn					
蛻	虫 	shuì tuì yuè					
沼	水 	zhăo					
聾	耳 	lóng					
聋	耳 	lóng					
憋	心 	biē					
韶	音 	sháo					
枷	木 	jiā					
懊	心 	ào					
惚	心 	bū					
筛	竹 	shāi					
篩	竹 	shāi shī					
峦	山 	luán					
巒	山 	luán					
凜	冫 	lĭn					
丫	丨 	yā					
硝	石 	xiāo qiào					
忱	心 	chén					
玖	玉 	jiŭ					
嵩	山 	sōng					
拌	手 	bàn pàn					
絢	糸 	xuàn xún					
绚	糸 	xuàn					
褚	衣 	chŭ zhĕ zhŭ					
汎	水 	fàn fĕng					
葭	艸 	jiā xiá					
鹦	鳥 	yīng					
鸚	鳥 	yīng					
嶽	山 	yuè					
祁	示 	qí zhĭ					
矜	矛 	jīn guān qín					
盎	皿 	àng					
噫	口 	yī					
婊	女 	biăo					
筑	竹 	zhú zhù					
憩	心 	qì					
鹉	鳥 	wŭ					
鵡	鳥 	wŭ					
羁	网 	jī					
羈	网 	jī					
娥	女 	é					
镖	金 	biāo					
