的	白 	de dí dì					
保	人 	băo					
份	人 	fèn bīn					
求	水 	qiú					
究	穴 	jiù jiū					
呵	口 	hē					
件	人 	jiàn					
未	木 	wèi					
決	水 	jué					
組	糸 	zŭ qū					
组	糸 	zŭ					
萬	艸 	wàn					
竹	竹 	zhú					
级	糸 	jí					
級	糸 	jí					
持	手 	chí					
笑	竹 	xiào					
投	手 	tóu					
哪	口 	nă nĕi na né nuó					
室	宀 	shì					
曾	曰 	céng zēng					
走	走 	zŏu					
喔	口 	wō 01					
标	木 	biāo					
標	木 	biāo					
流	水 	liú					
支	支 	zhī					
獨	犬 	dú					
独	犬 	dú					
貓	豸 	māo					
卡	卜 	qiă kă					
需	雨 	xū nuò ruăn rú					
兄	儿 	xiōng					
门	門 	mén					
門	門 	mén					
共	八 	gòng gōng					
语	言 	yŭ yù					
語	言 	yŭ yù					
海	水 	hăi					
口	口 	kŏu					
阿	阜 	ā à a ē ĕ ă					
線	糸 	xiàn					
馬	馬 	mă					
马	馬 	mă					
黃	黃 	huáng					
参	厶 	cān sān shēn dēn cēn săn					
參	厶 	cān sān shēn dēn cēn săn					
般	舟 	bān bō pán băn					
命	口 	mìng					
视	示 	shì					
視	見 	shì					
觀	見 	guān guàn					
观	見 	guān guàn					
聯	耳 	lián					
联	耳 	lián					
脑	肉 	năo					
腦	肉 	năo nào					
朋	月 	péng					
格	木 	gé gē					
兒	儿 	ér er					
八	八 	bā					
修	人 	xiū					
料	斗 	liào liáo					
錢	金 	qián jiăn					
钱	金 	qián jiăn					
失	大 	shī					
吃	口 	chī jī					
住	人 	zhù					
即	卩 	jí					
另	口 	lìng					
錄	金 	lù					
专	一 	zhuān					
專	寸 	zhuān					
象	豕 	xiàng					
換	手 	huàn					
换	手 	huàn					
基	土 	jī					
板	木 	băn					
拿	手 	ná					
遠	辵 	yuăn yuàn					
远	辵 	yuăn yuàn					
速	辵 	sù					
形	彡 	xíng					
孩	子 	hái					
备	夂 	bèi					
備	人 	bèi					
歌	欠 	gē					
幫	巾 	bāng					
帮	巾 	bāng					
確	石 	què					
候	人 	hòu					
除	阜 	chú zhù shū					
界	田 	jiè					
装	衣 	zhuāng					
裝	衣 	zhuāng					
类	米 	lèi lì					
類	頁 	lèi lì					
講	言 	jiăng					
讲	言 	jiăng					
器	口 	qì					
南	十 	nán nā					
案	木 	àn					
畫	田 	huà					
画	田 	huà					
英	艸 	yīng yāng					
诉	言 	sù					
訴	言 	sù					
带	巾 	dài					
帶	巾 	dài					
差	工 	chāi					
乎	丿 	hū hú hū					
量	里 	liàng liáng					
久	丿 	jiŭ					
掉	手 	diào					
似	人 	sì shì					
整	攴 	zhĕng					
引	弓 	yĭn					
班	玉 	bān					
迷	辵 	mí mèi mì					
图	囗 	tú					
圖	囗 	tú					
制	刀 	zhì					
费	貝 	fèi bì					
費	貝 	fèi bì					
賽	貝 	sài					
赛	貝 	sài					
奇	大 	qí jī					
识	言 	shì shí zhì					
識	言 	shì shí zhì					
型	土 	xíng					
超	走 	chāo chăo chào tiào					
邊	辵 	biān					
边	辵 	biān bian5					
耶	耳 	yé yē xié					
品	口 	pĭn					
虽	虫 	suī					
雖	隹 	suī					
始	女 	shĭ					
运	辵 	yùn					
運	辵 	yùn					
李	木 	lĭ					
務	力 	wù					
务	力 	wù					
权	木 	quán					
權	木 	quán					
验	馬 	yàn					
驗	馬 	yàn					
故	攴 	gù gŭ					
六	八 	liù lù					
读	言 	dú dòu					
讀	言 	dú dòu					
怪	心 	guài					
飛	飛 	fēi					
飞	飛 	fēi					
满	水 	măn mèn					
滿	水 	măn mèn					
服	月 	fú fù bì					
夢	夕 	mèng méng					
梦	木 	mèng méng					
收	攴 	shōu					
眼	目 	yăn wĕn					
造	辵 	zào cào cāo					
念	心 	niàn					
留	田 	liú liŭ liù					
课	言 	kè					
課	言 	kè					
军	冖 	37043					
軍	車 	37043					
破	石 	pò					
精	米 	jīng qíng jìng					
半	十 	bàn					
約	糸 	yuē yāo yào dì					
约	糸 	yuē					
願	頁 	yuàn					
令	人 	lìng líng lĭng					
底	广 	dĭ de					
答	竹 	dá dā					
演	水 	yăn yàn					
达	辵 	dá tì tà					
達	辵 	dá tà tì					
雄	隹 	xióng					
深	水 	shēn					
票	示 	piào piāo					
早	日 	zăo					
院	阜 	yuàn					
夠	夕 	gòu					
曲	曰 	qŭ qū					
假	人 	jiă jià xiá					
谈	言 	tán					
談	言 	tán					
術	行 	shù					
棒	木 	bàng					
賣	貝 	38108					
卖	十 	38108					
黑	黑 	hēi hè					
百	白 	băi bó mò					
勝	力 	shèng shēng					
推	手 	tuī					
存	子 	cún					
火	火 	huŏ huō					
準	水 	zhŭn					
示	示 	shì qī zhì shí					
往	彳 	wăng wàng					
碟	石 	dié shé					
易	日 	yì					
況	水 	kuàng					
晚	日 	wăn					
離	隹 	lí lì lĭ chī gŭ					
治	水 	zhì chí yí					
导	寸 	dăo dào					
導	寸 	dăo dào					
七	一 	qī					
段	殳 	duàn					
團	囗 	tuán					
团	囗 	tuán					
調	言 	diào tiào tiáo zhōu					
调	言 	diào tiào tiáo zhōu					
证	言 	zhèng					
證	言 	zhèng					
列	刀 	liè					
伤	人 	shāng					
傷	人 	shāng					
永	水 	yŏng					
剛	刀 	gāng					
刚	刀 	gāng					
排	手 	pái păi bèi					
哥	口 	gē					
德	彳 	dé					
九	乙 	jiŭ					
甚	甘 	shén shí shèn					
杀	木 	shā sà shài shè					
殺	殳 	shā sà shài shè					
照	火 	zhào					
软	車 	ruăn					
軟	車 	ruăn					
包	勹 	bāo					
怕	心 	pà					
條	木 	tiáo					
条	木 	tiáo					
夜	夕 	yè					
商	口 	shāng					
概	木 	gài guì jié					
根	木 	gēn					
供	人 	gōng gòng					
絕	糸 	jué					
千	十 	qiān					
客	宀 	kè					
